,Unnamed: 0,playlist_name,track_name,album_name,popularity,release_date,duration,artist_name
60,60,dance,Meet Me At Our Spot,THE ANXIETY,79,2020,162680,Tyler Cole
61,61,dance,Waffle House,Black Like This,28,2020,204806,Muni Long
62,62,dance,Sneaky Link,Nobody Knows,39,2021,222337,Muni Long
63,63,dance,No R&B,Public Displays Of Affection: The Album,43,2022,214263,Ann Marie
64,64,dance,Have Mercy,Have Mercy,72,2021,148778,Chlöe
65,65,dance,NASA,"thank u, next",65,2019,182000,Ariana Grande
66,66,dance,Berna,Flavour of Africa,44,2020,238576,Tekno
67,67,dance,No Copia,No Copia,47,2020,175338,Llane
68,68,dance,Favorito,Favorito,66,2020,211613,Camilo
69,69,dance,Girlfriend,Girlfriend,61,2020,177438,Charlie Puth
70,70,dance,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),73,2018,164640,Lil Yachty
71,71,dance,Safaera,YHLQMDLG,79,2020,295176,Ñengo Flow
72,72,dance,Yo Perreo Sola,YHLQMDLG,78,2020,172127,Bad Bunny
73,73,dance,Callaita,Callaita,79,2019,250533,Tainy
74,74,dance,Arcoíris,Colores,54,2020,186693,Mr Eazi
75,75,dance,Find Someone Like You,"- Ugh, those feels again",58,2019,206465,Snoh Aalegra
76,76,dance,Still Not Falling,Timeshare,20,2013,251640,Shy Girls
77,77,dance,Felices los 4,F.A.M.E.,72,2018,230000,Maluma
78,78,dance,Julia,Leave What's Lost Behind,43,2020,205413,Colony House
79,79,dance,To Noise Making (Sing),"Wasteland, Baby!",47,2019,206920,Hozier
80,80,dance,Do Whatcha Wanna,25th Anniversary,35,2008,192680,Rebirth Brass Band
81,81,dance,Wraith Pinned to the Mist and Other Games,The Sunlandic Twins,55,2005,255613,of Montreal
82,82,dance,Holy Ghost,Cocoa Sugar,35,2018,152654,Young Fathers
83,83,dance,Young Americans - Single Version; 2002 Remaster,Best of Bowie,43,2002,194640,David Bowie
84,84,dance,I Fought the Law,Hits Back,58,2013,163240,The Clash
85,85,dance,Katchua,Katchua,55,2018,229433,Ya Levis
86,86,dance,Suzanna,Midnight Train,42,2020,230787,Sauti Sol
87,87,dance,Djadja,NAKAMURA,69,2018,171133,Aya Nakamura
88,88,dance,Don't Pull Your Love,Greatest Hits,38,1994,162026,"Hamilton, Joe Frank & Reynolds"
89,89,dance,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),69,1990,251573,A Tribe Called Quest
90,90,dance,Liballa,Liballa,44,2018,288574,Ya Levis
91,91,dance,Jenevah,H E L I O S.,45,2018,260000,Tayc
92,92,dance,La métisse,Zulu,26,2013,231253,Mario Ramsamy
93,93,dance,Jowo,A Better Time,57,2020,176470,Davido
94,94,dance,Nobody,Nobody,48,2020,145860,Mr Eazi
95,95,dance,Definition,Mos Def & Talib Kweli Are Black Star,58,1998,206493,Black Star
96,96,dance,Sunday Candy,Surf,63,2015,226013,Donnie Trumpet & The Social Experiment
97,97,dance,The Light,Go! Common Classics,52,2010,243586,Common
98,98,dance,Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),80,1997,229826,The Notorious B.I.G.
99,99,dance,7/11,BEYONCÉ [Platinum Edition],68,2014,213506,Beyoncé
100,100,dance,Angels (feat. Saba),Angels (feat. Saba),41,2015,205384,Saba
101,101,dance,Paper Planes,Kala,76,2007,205200,M.I.A.
102,102,dance,Gangnam Style (강남스타일),Gangnam Style (강남스타일),73,2012,219493,PSY
103,103,dance,Formation,Lemonade,70,2016,206080,Beyoncé
104,104,dance,Soy Yo,Amanecer,61,2015,159800,Bomba Estéreo
105,105,,Why Me,The Austin Sessions,22,1999,177840,Kris Kristofferson
106,106,,Second Sight,Returning Current,6,2017,266413,Snowblink
107,107,,Martha,Closing Time (Remastered),51,1973,268866,Tom Waits
108,108,,Now I'm In It - Bonus Track,Women In Music Pt III (Expanded Edition),57,2021,204280,HAIM
109,109,,Boys And Girls Of 2018 And Everything In Between,MAYBE,29,2019,140466,Valley
110,110,,Delicate,O,55,2003,312066,Damien Rice
111,111,,Nobody Wins,The Austin Sessions,12,1999,246733,Kris Kristofferson
112,112,,Black Oak,Safe and Also No Fear,25,2019,402141,"Slaughter Beach, Dog"
113,113,,Fruits Of My Labor,World Without Tears,54,2003,288133,Lucinda Williams
114,114,,The Bad In Each Other,Metals,35,2011,284506,Feist
115,115,,Gold and Green,Birdie,47,2017,187696,"Slaughter Beach, Dog"
116,116,,Don't Think Twice It's Alright,Chris Thile & Brad Mehldau,40,2017,361413,Brad Mehldau
117,117,,Hurry,K.T.S.E.,47,2018,174200,Kanye West
118,118,,I Would Like To Call It Beauty,The Sea,21,2010,258920,Corinne Bailey Rae
119,119,,For All We Know,A Donny Hathaway Collection,29,1990,219600,Donny Hathaway
120,120,,So We Say,Three The Hard Way,8,2017,226353,Krystle Warren
121,121,,Sticking to My Guns,Gumbo,45,2017,221748,PJ Morton
122,122,,Real Love Baby,Real Love Baby,58,2016,189293,Father John Misty
123,123,,Living at the Ceiling,Fear,17,2019,284360,Begonia
124,124,,Nervous Driver,Thx,53,2017,144865,Lomelda
125,125,,Call Me When You Get This,Corinne Bailey Rae,39,2006,304866,Corinne Bailey Rae
126,126,,Torn Screen Door,Torn Screen Door,31,1999,98080,David Francey
127,127,,Ready For Love,Soul Sisters,44,2019,268800,India.Arie
128,128,,Let It Lie,Let It Lie,24,2015,244000,The Bros. Landreth
129,129,,Now At Last,Let It Die,20,2004,196240,Feist
130,130,,Self,Room 25,38,2018,94932,Noname
131,131,,"Strength, Courage, and Wisdom - India Arie",Muzik of the Mind and Spirit - a Concept Compilation,45,2006,301866,India.Arie
132,132,,Motivation,Motivation,69,2019,193837,Normani
133,133,,No Other Love,No Other Love,39,2002,233706,Chuck Prophet
134,134,,Poses,Poses,29,2001,299760,Rufus Wainwright
135,135,,The Story of an Artist,The Late Great Daniel Johnston: Discovered Covered,17,2004,260160,M Ward
136,136,,MONOPOLY (with Victoria Monét),MONOPOLY,62,2019,158586,Victoria Monét
137,137,,Home,The Nameless Ranger,36,2015,272794,Modern Baseball
138,138,,World Spins Madly On,Say I Am You,62,2005,165133,Steve Tannen
139,139,,Yellow Eyes,Imaginary Man,49,2015,230786,Rayland Baxter
140,140,,Feel The Need,a tree planted by water,43,2019,228926,Eryn Allen Kane
141,141,,To Beat The Devil,The Essential Kris Kristofferson,36,2004,282640,Kris Kristofferson
142,142,,Take Care,Alone at Last,16,2018,97114,Tasha
143,143,currents,Let's Get Married,Gone Now,55,2017,186053,Bleachers
144,144,currents,Julia,Leave What's Lost Behind,43,2020,205413,Colony House
145,145,currents,Holy,HEAVN,41,2017,192400,Jamila Woods
146,146,currents,For Island Fires and Family,Dermot Kennedy,54,2019,285644,Dermot Kennedy
147,147,currents,You're Too Precious,You're Too Precious,51,2020,223900,James Blake
148,148,a love letter to little me,Hey There Delilah,All That We Needed,78,2005,232533,Plain White T's
149,149,a love letter to little me,Who Says,When The Sun Goes Down,75,2011,195613,Selena Gomez & The Scene
150,150,a love letter to little me,Potential Breakup Song,Insomniatic,67,2007,219773,Aly & AJ
151,151,a love letter to little me,So Yesterday,Metamorphosis,57,2003,215333,Hilary Duff
152,152,a love letter to little me,"Ultimate - From ""Freaky Friday""/Soundtrack Version",Freaky Friday,54,2003,186866,Lindsay Lohan
153,153,a love letter to little me,Stick to the Status Quo,High School Musical,56,2006,268413,Disney
154,154,a love letter to little me,Beautiful Soul,Beautiful Soul,71,2004,214226,Jesse McCartney
155,155,a love letter to little me,Do You Believe In Magic,Into The Rush,44,2005,134066,Aly & AJ
156,156,a love letter to little me,Our Song,Taylor Swift (Big Machine Radio Release Special),61,2006,203440,Taylor Swift
157,157,a love letter to little me,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,63,2006,174120,Hannah Montana
158,158,a love letter to little me,Walking On Sunshine,Into The Rush,49,2005,233733,Aly & AJ
159,159,a love letter to little me,Don't Go Breakin' My Heart - Original Version,Ella Enchanted,41,2004,190066,Anne Hathaway
160,160,a love letter to little me,Picture To Burn,Taylor Swift (Big Machine Radio Release Special),57,2006,175280,Taylor Swift
161,161,a love letter to little me,Mandy,Music From Chasing Happiness,30,2019,168480,Jonas Brothers
162,162,a love letter to little me,Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Big Machine Radio Release Special),58,2006,204706,Taylor Swift
163,163,a love letter to little me,If That's Not Love,The Naked Brothers Band,38,2007,134146,The Naked Brothers Band
164,164,a love letter to little me,Long Distance,The Naked Brothers Band,25,2007,240693,The Naked Brothers Band
165,165,a love letter to little me,Thinking Of You,One Of The Boys,49,2008,246410,Katy Perry
166,166,a love letter to little me,Big Girls Don't Cry (Personal),The Dutchess,71,2006,268120,Fergie
167,167,a love letter to little me,I'm Only Me When I'm With You,Taylor Swift,53,2006,213053,Taylor Swift
168,168,a love letter to little me,7 Things - Single Version,Breakout,62,2008,213453,Miley Cyrus
169,169,a love letter to little me,If We Were A Movie,Hannah Montana 3,49,2009,184360,Corbin Bleu
170,170,a love letter to little me,Burnin' Up,A Little Bit Longer,68,2008,175093,Jonas Brothers
171,171,a love letter to little me,Lovebug,A Little Bit Longer,61,2008,220693,Jonas Brothers
172,172,You are safe,Sight,Atlas: II,34,2019,249555,Sleeping At Last
173,173,You are safe,Joy,Atlas: II,32,2019,193725,Sleeping At Last
174,174,You are safe,Here Comes The Sun,Live At The Cellar Door and at the Santa Monica Civic Auditorium,57,1972,254000,Richie Havens
175,175,ATL w/Melissa,Breakfast In Bed,1-800-HIT-EAZY,37,2021,180937,Hitmaka
176,176,ATL w/Melissa,Hocus Pocus,Year One,39,2018,218363,Clark Beckham
177,177,ATL w/Melissa,Over (When We Said Goodbye),Cold Heart,46,2018,210586,Thirdstory
178,178,ATL w/Melissa,Good Kisser,Free Yourself Up,60,2018,218493,Lake Street Dive
179,179,ATL w/Melissa,Colors,Black Pumas,64,2019,246586,Black Pumas
180,180,ATL w/Melissa,Better Days,Better Days,45,2020,198600,Justin Timberlake
181,181,To listen to 8/2,Thoughts From the ER (Silver Lining),Hotel TV,32,2021,262373,Lawrence
182,182,To listen to 8/2,It's Not All About You,Hotel TV,47,2021,151320,Lawrence
183,183,To listen to 8/2,Don't Move,Hotel TV,31,2021,180906,Lawrence
184,184,To listen to 8/2,It's Gonna Be Me (feat. Brasstracks),Hotel TV,39,2021,203653,Brasstracks
185,185,To listen to 8/2,The Weather,Hotel TV,44,2021,169093,Lawrence
186,186,To listen to 8/2,False Alarms (with Jon Bellion),Hotel TV,49,2021,240133,Jon Bellion
187,187,To listen to 8/2,Figure It Out (A Song Between Siblings),Hotel TV,31,2021,248293,Lawrence
188,188,To listen to 8/2,Stupid Deep,Glory Sound Prep,58,2018,178176,Jon Bellion
189,189,To listen to 8/2,False Alarms (with Jon Bellion),False Alarms (with Jon Bellion),39,2021,240133,Jon Bellion
190,190,To listen to 8/2,Hand Of God - Outro,The Human Condition,42,2016,337551,Jon Bellion
191,191,To listen to 8/2,JT,Glory Sound Prep,47,2018,268466,Jon Bellion
192,192,To listen to 8/2,Couples Retreat,Glory Sound Prep,42,2018,208697,Jon Bellion
193,193,To listen to 8/2,Pre-Occupied,The Definition,41,2014,267794,Blaque Keyz
194,194,To listen to 8/2,Human,The Definition,47,2014,205268,Jon Bellion
195,195,To listen to 8/2,Simple & Sweet,The Definition,49,2014,171868,Jon Bellion
196,196,To listen to 8/2,Ooh,The Definition,47,2014,219227,Christianne Jensen
197,197,To listen to 8/2,Luxury,The Definition,49,2014,243458,Audra Mae
198,198,To listen to 8/2,Dead Man Walking,Translations Through Speakers,50,2013,196840,Jon Bellion
199,199,for dancing,She's A Lady,Underdog Alma Mater,52,2008,240040,Forever The Sickest Kids
200,200,for dancing,1985,A Hangover You Don't Deserve,70,2004,193000,Bowling For Soup
201,201,for dancing,Dirty Little Secret,Move Along,65,2005,193653,The All-American Rejects
202,202,for dancing,Gives You Hell,When The World Comes Down,69,2008,213106,The All-American Rejects
203,203,for dancing,Story of a Girl,The 90s Rocked My Heart,40,2015,187218,Melting Oak
204,204,for dancing,"Sugar, We're Goin Down",From Under The Cork Tree,77,2005,229093,Fall Out Boy
205,205,for dancing,Move Along,Move Along,60,2005,238880,The All-American Rejects
206,206,for dancing,I Melt With You,Goes to the Movies (Expanded Edition),42,2005,241440,Bowling For Soup
207,207,for dancing,"Dear Maria, Count Me In","So Wrong, It's Right",76,2007,182826,All Time Low
208,208,for dancing,Sk8er Boi,Let Go,76,2002,204000,Avril Lavigne
209,209,for dancing,All The Small Things,Enema Of The State,81,1999,167066,blink-182
210,210,for dancing,In Too Deep,"All Killer, No Filler",74,2001,207093,Sum 41
211,211,for dancing,Mr. Brightside,Hot Fuss,85,2004,222973,The Killers
212,212,for dancing,Jane Doe,What Is Love?,37,2010,115146,Never Shout Never
213,213,for dancing,piggy bank,Harmony,27,2010,94200,Never Shout Never
214,214,for dancing,first dance,Harmony,40,2010,129773,Never Shout Never
215,215,for dancing,trampoline,Harmony,32,2010,144840,Never Shout Never
216,216,for dancing,sweet perfection,Harmony,35,2010,109053,Never Shout Never
217,217,for dancing,Hummingbird,The Summer EP,32,2009,185173,Never Shout Never
218,218,for dancing,Can't Stand It,What Is Love?,45,2010,170560,Never Shout Never
219,219,for dancing,Kiss Me Slowly,Pop Party,37,2019,235813,Parachute
220,220,for dancing,Two Is Better Than One (feat. Taylor Swift),Love Drunk,65,2009,242840,Taylor Swift
221,221,for dancing,Say You Like Me,Sunshine State of Mind,53,2011,210645,We The Kings
222,222,for dancing,Love Like Woe,"I'm Alive, I'm Dreaming (Deluxe)",55,2010,200453,The Ready Set
223,223,for dancing,Thnks fr th Mmrs,Infinity On High,77,2007,203506,Fall Out Boy
224,224,for dancing,It Ends Tonight,Move Along,56,2005,244826,The All-American Rejects
225,225,for dancing,Hero / Heroine - Original Mix,Boys Like Girls,37,2006,232240,Boys Like Girls
226,226,for dancing,That's What You Get,Riot!,67,2007,220480,Paramore
227,227,for dancing,Goodnight Moon,Do Overs And Second Chances,52,2010,306186,Go Radio
228,228,for dancing,Rhythm Of Love,Wonders Of The Younger (International Version),52,2010,200200,Plain White T's
229,229,for dancing,Everywhere,The Spirit Room,65,2001,214826,Michelle Branch
230,230,for dancing,Breathe,Hotel Paper,56,2003,211773,Michelle Branch
231,231,for dancing,Are You Happy Now?,Hotel Paper (Deluxe Edition),31,2003,230760,Michelle Branch
232,232,for dancing,Over My Head (Cable Car),How To Save A Life,69,2005,236266,The Fray
233,233,for dancing,Do It 2 Me,All the Way,43,2011,200053,Allstar Weekend
234,234,for dancing,Mr Wonderful,All the Way,33,2011,200093,Allstar Weekend
235,235,for dancing,When You Were Young,Sam's Town,76,2006,220426,The Killers
236,236,for dancing,Human,Day & Age (Bonus Tracks),74,2008,245373,The Killers
237,237,for dancing,Sam's Town,Sam's Town,54,2006,246026,The Killers
238,238,doin' the naughty,Sex And Candy,"Lunch, Recess & Detention",57,2012,172486,Marcy Playground
239,239,doin' the naughty,The Only Moment We Were Alone,The Earth Is Not a Cold Dead Place,32,2003,614040,Explosions In The Sky
240,240,doin' the naughty,Man,good to know,40,2020,173760,JoJo
241,241,doin' the naughty,Breakfast In Bed,1-800-HIT-EAZY,37,2021,180937,Hitmaka
242,242,"dont worry, you're doing just fine",Kill Monsters In The Rain,Trampoline,18,2007,237933,Steel Train
243,243,"dont worry, you're doing just fine",To Take You Home,Love Ire & Song,24,2009,229133,Frank Turner
244,244,"dont worry, you're doing just fine",The Freshmen,Villains,61,1996,269466,The Verve Pipe
245,245,"dont worry, you're doing just fine",What's Your Name,Mélange,0,2020,273453,Seth Slay
246,246,"dont worry, you're doing just fine",I Was Made For Sunny Days,Be My Thrill,44,2010,193506,Steve Tannen
247,247,"dont worry, you're doing just fine",I Got,Young The Giant (Special Edition),42,2011,259773,Young the Giant
248,248,"dont worry, you're doing just fine",Good as New,Gone,31,2012,204026,Vacationer
249,249,"dont worry, you're doing just fine",I Need A Life,"Red, Yellow & Blue",30,2008,206626,Born Ruffians
250,250,sing me to sleep,Yesterday - Remastered 2009,Help! (Remastered),75,1965,125666,The Beatles
251,251,sing me to sleep,You Are My Sunshine,Unearthed,56,2003,196733,Johnny Cash
252,252,sing me to sleep,Asleep - 2008 Remaster,The Sound of the Smiths (Deluxe; 2008 Remaster),43,2008,250280,The Smiths
253,253,Re-education: Bob Dylan,Talkin' New York,Bob Dylan,33,1962,197653,Bob Dylan
254,254,Re-education: Bob Dylan,"It Takes a Lot to Laugh, It Takes a Train to Cry",Highway 61 Revisited,41,1965,245133,Bob Dylan
255,255,Re-education: Bob Dylan,Queen Jane Approximately,Highway 61 Revisited,44,1965,327466,Bob Dylan
256,256,Re-education: Bob Dylan,Highway 61 Revisited,Highway 61 Revisited,42,1965,205826,Bob Dylan
257,257,Re-education: Bob Dylan,Girl from the North Country,The Freewheelin' Bob Dylan,50,1963,199573,Bob Dylan
258,258,Re-education: Bob Dylan,"Don't Think Twice, It's All Right",The Freewheelin' Bob Dylan,65,1963,217400,Bob Dylan
259,259,Re-education: Bob Dylan,Blowin' in the Wind,The Freewheelin' Bob Dylan,67,1963,165426,Bob Dylan
260,260,Re-education: Bob Dylan,To Be Alone with You,Nashville Skyline,46,1969,127600,Bob Dylan
261,261,Re-education: Bob Dylan,Tonight I'll Be Staying Here with You,Nashville Skyline,51,1969,201133,Bob Dylan
262,262,Re-education: Bob Dylan,The Lonesome Death of Hattie Carroll,The Times They Are A-Changin',37,1964,345133,Bob Dylan
263,263,Re-education: Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin',66,1964,192053,Bob Dylan
264,264,Re-education: Bob Dylan,Black Crow Blues,Another Side Of Bob Dylan,28,1964,194706,Bob Dylan
265,265,Re-education: Bob Dylan,Ballad in Plain D,Another Side Of Bob Dylan,27,1964,497160,Bob Dylan
266,266,Re-education: Bob Dylan,I Shall Be Free No. 10,Another Side Of Bob Dylan,26,1964,288333,Bob Dylan
267,267,Re-education: Bob Dylan,She Belongs to Me,Bringing It All Back Home,47,1965,166706,Bob Dylan
268,268,Re-education: Bob Dylan,One Too Many Mornings,The Times They Are A-Changin',41,1964,157933,Bob Dylan
269,269,Re-education: Bob Dylan,Only a Pawn in Their Game,The Times They Are A-Changin',35,1964,209160,Bob Dylan
270,270,Re-education: Bob Dylan,Restless Farewell,The Times They Are A-Changin',31,1964,332706,Bob Dylan
271,271,Re-education: Bob Dylan,Make You Feel My Love,Time Out Of Mind,53,1997,211000,Bob Dylan
272,272,fearless,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),79,2021,231124,Taylor Swift
273,273,fearless,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),63,2021,263377,Colbie Caillat
274,274,fearless,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),62,2021,200575,Taylor Swift
275,275,fearless,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),64,2021,261842,Taylor Swift
276,276,fearless,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),80,2021,243136,Taylor Swift
277,277,fearless,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),68,2021,225328,Taylor Swift
278,278,fearless,The Best Day (Taylor’s Version),Fearless (Taylor's Version),61,2021,245290,Taylor Swift
279,279,fearless,Change (Taylor’s Version),Fearless (Taylor's Version),60,2021,279359,Taylor Swift
280,280,fearless,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),62,2021,237580,Taylor Swift
281,281,fearless,Untouchable (Taylor’s Version),Fearless (Taylor's Version),62,2021,312107,Taylor Swift
282,282,fearless,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),62,2021,267833,Taylor Swift
283,283,fearless,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),59,2021,237338,Taylor Swift
284,284,fearless,Superstar (Taylor’s Version),Fearless (Taylor's Version),59,2021,263865,Taylor Swift
285,285,fearless,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),64,2021,238443,Taylor Swift
286,286,fearless,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),62,2021,241822,Taylor Swift
287,287,fearless,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),60,2021,220839,Maren Morris
288,288,fearless,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),70,2021,277591,Taylor Swift
289,289,fearless,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),62,2021,244236,Taylor Swift
290,290,fearless,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),64,2021,189495,Keith Urban
291,291,fearless,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),63,2021,208608,Taylor Swift
292,292,fearless,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),61,2021,242157,Taylor Swift
293,293,fearless,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Mr. Perfectly Fine (Taylor’s Version) (From The Vault),71,2021,277591,Taylor Swift
294,294,fearless,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),59,2021,220839,Maren Morris
295,295,Música do antigamente,Preparen Candela,Perlas Cubanas: Los Compadres,5,2015,175832,Los Compadres
296,296,Música do antigamente,Dale palo,"Carribean Merengues (1950 - 1960), Vol. 2",0,2011,168600,Luis Quintero y su Conjunto Cibaeno
297,297,Lina's spanish songs,Tu Amor Me Hace Bien - Salsa Version,Valio La Pena,70,2004,300160,Marc Anthony
298,298,Lina's spanish songs,Volverte A Ver,Mi Sangre,68,2004,217560,Juanes
299,299,Lina's spanish songs,El amor,El amor,40,2009,247626,"Tito ""El Bambino"""
300,300,Lina's spanish songs,Yo No Sé Mañana,Ciclos,74,2009,259853,Luis Enrique
